typicalDate,typicalTime,track,sample,year,month,day,hour,lat,lon,pressureReducedToMeanSeaLevel,base_dt,valid_dt,pressure
20260905,180000,28W,1,2026,9,5,18,25.7,129.5,98900.0,2026-09-05 18:00:00,2026-09-05 18:00:00,989.0
20260905,180000,28W,1,2026,9,5,18,25.900000000000002,130.7,98800.0,2026-09-05 18:00:00,2026-09-05 18:00:00,988.0
20260905,180000,28W,1,2026,9,5,18,26.2,131.3,99100.0,2026-09-05 18:00:00,2026-09-05 18:00:00,991.0
20260905,180000,28W,1,2026,9,5,18,26.5,131.7,99000.0,2026-09-05 18:00:00,2026-09-05 18:00:00,990.0
20260905,180000,28W,1,2026,9,5,18,26.900000000000002,132.1,99200.0,2026-09-05 18:00:00,2026-09-05 18:00:00,992.0
20260905,180000,28W,1,2026,9,5,18,27.400000000000002,132.6,99200.0,2026-09-05 18:00:00,2026-09-05 18:00:00,992.0
20260905,180000,28W,1,2026,9,5,18,28.0,133.1,99500.0,2026-09-05 18:00:00,2026-09-05 18:00:00,995.0
20260905,180000,28W,1,2026,9,5,18,28.8,133.4,99500.0,2026-09-05 18:00:00,2026-09-05 18:00:00,995.0
20260905,180000,28W,1,2026,9,5,18,29.900000000000002,133.7,99700.0,2026-09-05 18:00:00,2026-09-05 18:00:00,997.0
20260905,180000,28W,1,2026,9,5,18,31.1,133.9,99700.0,2026-09-05 18:00:00,2026-09-05 18:00:00,997.0
20260905,180000,28W,1,2026,9,5,18,32.3,134.2,100000.0,2026-09-05 18:00:00,2026-09-05 18:00:00,1000.0
20260905,180000,28W,1,2026,9,5,18,33.1,134.5,100100.0,2026-09-05 18:00:00,2026-09-05 18:00:00,1001.0
20260905,180000,28W,1,2026,9,5,18,33.7,136.1,100500.0,2026-09-05 18:00:00,2026-09-05 18:00:00,1005.0
20260905,180000,28W,1,2026,9,5,18,34.7,137.3,100500.0,2026-09-05 18:00:00,2026-09-05 18:00:00,1005.0
20260905,180000,28W,2,2026,9,5,18,25.5,129.4,98900.0,2026-09-05 18:00:00,2026-09-05 18:00:00,989.0
20260905,180000,28W,2,2026,9,5,18,25.900000000000002,130.4,98800.0,2026-09-05 18:00:00,2026-09-05 18:00:00,988.0
20260905,180000,28W,2,2026,9,5,18,26.0,130.9,99000.0,2026-09-05 18:00:00,2026-09-05 18:00:00,990.0
20260905,180000,28W,2,2026,9,5,18,26.400000000000002,131.3,98900.0,2026-09-05 18:00:00,2026-09-05 18:00:00,989.0
20260905,180000,28W,2,2026,9,5,18,26.8,131.8,99100.0,2026-09-05 18:00:00,2026-09-05 18:00:00,991.0
20260905,180000,28W,2,2026,9,5,18,27.8,132.1,99100.0,2026-09-05 18:00:00,2026-09-05 18:00:00,991.0
20260905,180000,28W,2,2026,9,5,18,28.5,132.1,99400.0,2026-09-05 18:00:00,2026-09-05 18:00:00,994.0
20260905,180000,28W,2,2026,9,5,18,29.400000000000002,131.6,99400.0,2026-09-05 18:00:00,2026-09-05 18:00:00,994.0
20260905,180000,28W,2,2026,9,5,18,30.2,131.2,99600.0,2026-09-05 18:00:00,2026-09-05 18:00:00,996.0
20260905,180000,28W,2,2026,9,5,18,31.3,130.7,99600.0,2026-09-05 18:00:00,2026-09-05 18:00:00,996.0
20260905,180000,28W,2,2026,9,5,18,31.3,131.1,99900.0,2026-09-05 18:00:00,2026-09-05 18:00:00,999.0
20260905,180000,28W,2,2026,9,5,18,33.6,131.2,99800.0,2026-09-05 18:00:00,2026-09-05 18:00:00,998.0
20260905,180000,28W,2,2026,9,5,18,33.8,131.8,100000.0,2026-09-05 18:00:00,2026-09-05 18:00:00,1000.0
20260905,180000,28W,2,2026,9,5,18,34.4,134.7,100100.0,2026-09-05 18:00:00,2026-09-05 18:00:00,1001.0
20260905,180000,28W,2,2026,9,5,18,34.6,136.6,100500.0,2026-09-05 18:00:00,2026-09-05 18:00:00,1005.0
20260905,180000,28W,2,2026,9,5,18,33.7,136.1,100800.0,2026-09-05 18:00:00,2026-09-05 18:00:00,1008.0
20260905,180000,28W,2,2026,9,5,18,33.1,135.9,101200.0,2026-09-05 18:00:00,2026-09-05 18:00:00,1012.0
20260905,180000,28W,3,2026,9,5,18,25.5,130.0,99000.0,2026-09-05 18:00:00,2026-09-05 18:00:00,990.0
20260905,180000,28W,3,2026,9,5,18,26.3,130.7,98900.0,2026-09-05 18:00:00,2026-09-05 18:00:00,989.0
20260905,180000,28W,3,2026,9,5,18,26.3,131.2,99100.0,2026-09-05 18:00:00,2026-09-05 18:00:00,991.0
20260905,180000,28W,3,2026,9,5,18,27.0,131.2,99000.0,2026-09-05 18:00:00,2026-09-05 18:00:00,990.0
20260905,180000,28W,3,2026,9,5,18,27.0,131.2,99200.0,2026-09-05 18:00:00,2026-09-05 18:00:00,992.0
20260905,180000,28W,3,2026,9,5,18,26.8,131.8,99200.0,2026-09-05 18:00:00,2026-09-05 18:00:00,992.0
20260905,180000,28W,3,2026,9,5,18,27.3,132.2,99500.0,2026-09-05 18:00:00,2026-09-05 18:00:00,995.0
20260905,180000,28W,3,2026,9,5,18,28.3,132.6,99500.0,2026-09-05 18:00:00,2026-09-05 18:00:00,995.0
20260905,180000,28W,3,2026,9,5,18,29.2,132.6,99700.0,2026-09-05 18:00:00,2026-09-05 18:00:00,997.0
20260905,180000,28W,3,2026,9,5,18,30.0,132.2,99600.0,2026-09-05 18:00:00,2026-09-05 18:00:00,996.0
20260905,180000,28W,3,2026,9,5,18,30.6,131.9,99900.0,2026-09-05 18:00:00,2026-09-05 18:00:00,999.0
20260905,180000,28W,3,2026,9,5,18,31.6,132.1,99900.0,2026-09-05 18:00:00,2026-09-05 18:00:00,999.0
20260905,180000,28W,3,2026,9,5,18,32.6,132.2,100200.0,2026-09-05 18:00:00,2026-09-05 18:00:00,1002.0
20260905,180000,28W,3,2026,9,5,18,34.2,134.4,100200.0,2026-09-05 18:00:00,2026-09-05 18:00:00,1002.0
20260905,180000,28W,3,2026,9,5,18,35.6,135.7,100400.0,2026-09-05 18:00:00,2026-09-05 18:00:00,1004.0
20260905,180000,28W,3,2026,9,5,18,36.0,139.4,100500.0,2026-09-05 18:00:00,2026-09-05 18:00:00,1005.0
20260905,180000,28W,4,2026,9,5,18,25.6,129.2,99000.0,2026-09-05 18:00:00,2026-09-05 18:00:00,990.0
20260905,180000,28W,4,2026,9,5,18,25.6,129.8,98800.0,2026-09-05 18:00:00,2026-09-05 18:00:00,988.0
20260905,180000,28W,4,2026,9,5,18,25.6,131.0,99000.0,2026-09-05 18:00:00,2026-09-05 18:00:00,990.0
20260905,180000,28W,4,2026,9,5,18,25.6,131.2,98900.0,2026-09-05 18:00:00,2026-09-05 18:00:00,989.0
20260905,180000,28W,4,2026,9,5,18,26.1,132.0,99000.0,2026-09-05 18:00:00,2026-09-05 18:00:00,990.0
20260905,180000,28W,4,2026,9,5,18,26.5,132.6,99000.0,2026-09-05 18:00:00,2026-09-05 18:00:00,990.0
20260905,180000,28W,4,2026,9,5,18,27.1,132.9,99200.0,2026-09-05 18:00:00,2026-09-05 18:00:00,992.0
20260905,180000,28W,4,2026,9,5,18,27.6,132.7,99000.0,2026-09-05 18:00:00,2026-09-05 18:00:00,990.0
20260905,180000,28W,4,2026,9,5,18,28.400000000000002,132.2,99300.0,2026-09-05 18:00:00,2026-09-05 18:00:00,993.0
20260905,180000,28W,4,2026,9,5,18,29.3,132.0,99200.0,2026-09-05 18:00:00,2026-09-05 18:00:00,992.0
20260905,180000,28W,4,2026,9,5,18,30.2,132.0,99400.0,2026-09-05 18:00:00,2026-09-05 18:00:00,994.0
20260905,180000,28W,4,2026,9,5,18,31.0,131.5,99500.0,2026-09-05 18:00:00,2026-09-05 18:00:00,995.0
20260905,180000,28W,4,2026,9,5,18,31.8,131.5,99800.0,2026-09-05 18:00:00,2026-09-05 18:00:00,998.0
20260905,180000,28W,4,2026,9,5,18,31.900000000000002,131.4,100100.0,2026-09-05 18:00:00,2026-09-05 18:00:00,1001.0
20260905,180000,28W,4,2026,9,5,18,32.5,130.2,100600.0,2026-09-05 18:00:00,2026-09-05 18:00:00,1006.0
20260905,180000,28W,4,2026,9,5,18,32.2,129.8,100700.0,2026-09-05 18:00:00,2026-09-05 18:00:00,1007.0
20260905,180000,28W,4,2026,9,5,18,31.5,129.0,101300.0,2026-09-05 18:00:00,2026-09-05 18:00:00,1013.0
20260905,180000,28W,4,2026,9,5,18,31.1,128.6,101500.0,2026-09-05 18:00:00,2026-09-05 18:00:00,1015.0
20260905,180000,28W,4,2026,9,5,18,31.1,128.8,101500.0,2026-09-05 18:00:00,2026-09-05 18:00:00,1015.0
20260905,180000,28W,4,2026,9,5,18,31.400000000000002,128.8,101600.0,2026-09-05 18:00:00,2026-09-05 18:00:00,1016.0
20260905,180000,28W,5,2026,9,5,18,25.2,129.6,98900.0,2026-09-05 18:00:00,2026-09-05 18:00:00,989.0
20260905,180000,28W,5,2026,9,5,18,25.6,130.5,98800.0,2026-09-05 18:00:00,2026-09-05 18:00:00,988.0
20260905,180000,28W,5,2026,9,5,18,25.900000000000002,131.2,99000.0,2026-09-05 18:00:00,2026-09-05 18:00:00,990.0
20260905,180000,28W,5,2026,9,5,18,26.5,131.5,99000.0,2026-09-05 18:00:00,2026-09-05 18:00:00,990.0
20260905,180000,28W,5,2026,9,5,18,27.1,132.0,99200.0,2026-09-05 18:00:00,2026-09-05 18:00:00,992.0
20260905,180000,28W,5,2026,9,5,18,28.1,132.2,99200.0,2026-09-05 18:00:00,2026-09-05 18:00:00,992.0
20260905,180000,28W,5,2026,9,5,18,28.6,132.3,99600.0,2026-09-05 18:00:00,2026-09-05 18:00:00,996.0
20260905,180000,28W,5,2026,9,5,18,29.400000000000002,132.3,99600.0,2026-09-05 18:00:00,2026-09-05 18:00:00,996.0
20260905,180000,28W,5,2026,9,5,18,30.3,132.5,99800.0,2026-09-05 18:00:00,2026-09-05 18:00:00,998.0
20260905,180000,28W,5,2026,9,5,18,31.2,132.8,99700.0,2026-09-05 18:00:00,2026-09-05 18:00:00,997.0
20260905,180000,28W,5,2026,9,5,18,32.3,133.2,100000.0,2026-09-05 18:00:00,2026-09-05 18:00:00,1000.0
20260905,180000,28W,5,2026,9,5,18,33.3,133.6,99900.0,2026-09-05 18:00:00,2026-09-05 18:00:00,999.0
20260905,180000,28W,5,2026,9,5,18,34.4,135.1,100100.0,2026-09-05 18:00:00,2026-09-05 18:00:00,1001.0
20260905,180000,28W,5,2026,9,5,18,35.0,137.0,100000.0,2026-09-05 18:00:00,2026-09-05 18:00:00,1000.0
20260905,180000,28W,6,2026,9,5,18,25.1,129.8,98700.0,2026-09-05 18:00:00,2026-09-05 18:00:00,987.0
20260905,180000,28W,6,2026,9,5,18,25.2,131.0,98600.0,2026-09-05 18:00:00,2026-09-05 18:00:00,986.0
20260905,180000,28W,6,2026,9,5,18,25.5,132.3,98900.0,2026-09-05 18:00:00,2026-09-05 18:00:00,989.0
20260905,180000,28W,6,2026,9,5,18,26.0,133.1,98800.0,2026-09-05 18:00:00,2026-09-05 18:00:00,988.0
20260905,180000,28W,6,2026,9,5,18,26.900000000000002,133.8,99000.0,2026-09-05 18:00:00,2026-09-05 18:00:00,990.0
20260905,180000,28W,6,2026,9,5,18,27.900000000000002,134.2,98900.0,2026-09-05 18:00:00,2026-09-05 18:00:00,989.0
20260905,180000,28W,6,2026,9,5,18,28.900000000000002,134.5,99100.0,2026-09-05 18:00:00,2026-09-05 18:00:00,991.0
20260905,180000,28W,6,2026,9,5,18,30.1,134.7,99100.0,2026-09-05 18:00:00,2026-09-05 18:00:00,991.0
20260905,180000,28W,6,2026,9,5,18,31.3,135.2,99300.0,2026-09-05 18:00:00,2026-09-05 18:00:00,993.0
20260905,180000,28W,6,2026,9,5,18,32.8,135.7,99200.0,2026-09-05 18:00:00,2026-09-05 18:00:00,992.0
20260905,180000,28W,6,2026,9,5,18,34.2,136.6,99400.0,2026-09-05 18:00:00,2026-09-05 18:00:00,994.0
20260905,180000,28W,6,2026,9,5,18,35.800000000000004,139.5,99700.0,2026-09-05 18:00:00,2026-09-05 18:00:00,997.0
20260905,180000,28W,6,2026,9,5,18,37.9,141.8,100000.0,2026-09-05 18:00:00,2026-09-05 18:00:00,1000.0
20260905,180000,28W,7,2026,9,5,18,26.3,129.0,99100.0,2026-09-05 18:00:00,2026-09-05 18:00:00,991.0
20260905,180000,28W,7,2026,9,5,18,26.3,130.2,98900.0,2026-09-05 18:00:00,2026-09-05 18:00:00,989.0
20260905,180000,28W,7,2026,9,5,18,26.3,130.6,99000.0,2026-09-05 18:00:00,2026-09-05 18:00:00,990.0
20260905,180000,28W,7,2026,9,5,18,26.400000000000002,131.1,99000.0,2026-09-05 18:00:00,2026-09-05 18:00:00,990.0
20260905,180000,28W,7,2026,9,5,18,27.0,131.4,99200.0,2026-09-05 18:00:00,2026-09-05 18:00:00,992.0
20260905,180000,28W,7,2026,9,5,18,27.1,131.9,99200.0,2026-09-05 18:00:00,2026-09-05 18:00:00,992.0
20260905,180000,28W,7,2026,9,5,18,28.0,132.1,99500.0,2026-09-05 18:00:00,2026-09-05 18:00:00,995.0
20260905,180000,28W,7,2026,9,5,18,29.1,131.5,99500.0,2026-09-05 18:00:00,2026-09-05 18:00:00,995.0
20260905,180000,28W,7,2026,9,5,18,29.7,131.1,99700.0,2026-09-05 18:00:00,2026-09-05 18:00:00,997.0
20260905,180000,28W,7,2026,9,5,18,30.5,130.7,99700.0,2026-09-05 18:00:00,2026-09-05 18:00:00,997.0
20260905,180000,28W,7,2026,9,5,18,30.8,130.2,99900.0,2026-09-05 18:00:00,2026-09-05 18:00:00,999.0
20260905,180000,28W,7,2026,9,5,18,31.1,129.6,99900.0,2026-09-05 18:00:00,2026-09-05 18:00:00,999.0
20260905,180000,28W,7,2026,9,5,18,32.0,129.7,100000.0,2026-09-05 18:00:00,2026-09-05 18:00:00,1000.0
20260905,180000,28W,7,2026,9,5,18,32.5,130.1,100000.0,2026-09-05 18:00:00,2026-09-05 18:00:00,1000.0
20260905,180000,28W,7,2026,9,5,18,33.6,131.2,100400.0,2026-09-05 18:00:00,2026-09-05 18:00:00,1004.0
20260905,180000,28W,7,2026,9,5,18,33.8,131.1,100700.0,2026-09-05 18:00:00,2026-09-05 18:00:00,1007.0
20260905,180000,28W,8,2026,9,5,18,24.900000000000002,129.7,98900.0,2026-09-05 18:00:00,2026-09-05 18:00:00,989.0
20260905,180000,28W,8,2026,9,5,18,25.7,131.2,98800.0,2026-09-05 18:00:00,2026-09-05 18:00:00,988.0
20260905,180000,28W,8,2026,9,5,18,26.2,132.1,99000.0,2026-09-05 18:00:00,2026-09-05 18:00:00,990.0
20260905,180000,28W,8,2026,9,5,18,27.3,132.6,98900.0,2026-09-05 18:00:00,2026-09-05 18:00:00,989.0
20260905,180000,28W,8,2026,9,5,18,27.8,132.8,99100.0,2026-09-05 18:00:00,2026-09-05 18:00:00,991.0
20260905,180000,28W,8,2026,9,5,18,28.1,133.6,99100.0,2026-09-05 18:00:00,2026-09-05 18:00:00,991.0
20260905,180000,28W,8,2026,9,5,18,28.8,134.0,99400.0,2026-09-05 18:00:00,2026-09-05 18:00:00,994.0
20260905,180000,28W,8,2026,9,5,18,29.2,134.1,99300.0,2026-09-05 18:00:00,2026-09-05 18:00:00,993.0
20260905,180000,28W,8,2026,9,5,18,29.7,134.3,99600.0,2026-09-05 18:00:00,2026-09-05 18:00:00,996.0
20260905,180000,28W,8,2026,9,5,18,30.3,134.4,99500.0,2026-09-05 18:00:00,2026-09-05 18:00:00,995.0
20260905,180000,28W,8,2026,9,5,18,30.8,134.2,99800.0,2026-09-05 18:00:00,2026-09-05 18:00:00,998.0
20260905,180000,28W,8,2026,9,5,18,30.900000000000002,133.9,99700.0,2026-09-05 18:00:00,2026-09-05 18:00:00,997.0
20260905,180000,28W,8,2026,9,5,18,32.1,134.8,99900.0,2026-09-05 18:00:00,2026-09-05 18:00:00,999.0
20260905,180000,28W,8,2026,9,5,18,32.5,135.9,99900.0,2026-09-05 18:00:00,2026-09-05 18:00:00,999.0
20260905,180000,28W,8,2026,9,5,18,33.9,137.20000000000002,100200.0,2026-09-05 18:00:00,2026-09-05 18:00:00,1002.0
20260905,180000,28W,8,2026,9,5,18,33.9,138.0,100500.0,2026-09-05 18:00:00,2026-09-05 18:00:00,1005.0
20260905,180000,28W,8,2026,9,5,18,33.4,141.0,101000.0,2026-09-05 18:00:00,2026-09-05 18:00:00,1010.0
20260905,180000,28W,8,2026,9,5,18,36.4,146.5,101400.0,2026-09-05 18:00:00,2026-09-05 18:00:00,1014.0
20260905,180000,28W,9,2026,9,5,18,25.400000000000002,129.2,99000.0,2026-09-05 18:00:00,2026-09-05 18:00:00,990.0
20260905,180000,28W,9,2026,9,5,18,26.0,130.5,98900.0,2026-09-05 18:00:00,2026-09-05 18:00:00,989.0
20260905,180000,28W,9,2026,9,5,18,25.7,131.2,99000.0,2026-09-05 18:00:00,2026-09-05 18:00:00,990.0
20260905,180000,28W,9,2026,9,5,18,26.2,131.9,99000.0,2026-09-05 18:00:00,2026-09-05 18:00:00,990.0
20260905,180000,28W,9,2026,9,5,18,26.6,132.1,99200.0,2026-09-05 18:00:00,2026-09-05 18:00:00,992.0
20260905,180000,28W,9,2026,9,5,18,27.0,132.8,99200.0,2026-09-05 18:00:00,2026-09-05 18:00:00,992.0
20260905,180000,28W,9,2026,9,5,18,27.1,133.0,99500.0,2026-09-05 18:00:00,2026-09-05 18:00:00,995.0
20260905,180000,28W,9,2026,9,5,18,27.8,133.2,99500.0,2026-09-05 18:00:00,2026-09-05 18:00:00,995.0
20260905,180000,28W,9,2026,9,5,18,28.3,133.2,99700.0,2026-09-05 18:00:00,2026-09-05 18:00:00,997.0
20260905,180000,28W,9,2026,9,5,18,29.3,133.1,99600.0,2026-09-05 18:00:00,2026-09-05 18:00:00,996.0
20260905,180000,28W,9,2026,9,5,18,29.900000000000002,132.7,99800.0,2026-09-05 18:00:00,2026-09-05 18:00:00,998.0
20260905,180000,28W,9,2026,9,5,18,30.8,132.1,99700.0,2026-09-05 18:00:00,2026-09-05 18:00:00,997.0
20260905,180000,28W,9,2026,9,5,18,32.0,132.0,99700.0,2026-09-05 18:00:00,2026-09-05 18:00:00,997.0
20260905,180000,28W,9,2026,9,5,18,33.0,132.2,99300.0,2026-09-05 18:00:00,2026-09-05 18:00:00,993.0
20260905,180000,28W,9,2026,9,5,18,34.0,133.4,99800.0,2026-09-05 18:00:00,2026-09-05 18:00:00,998.0
20260905,180000,28W,9,2026,9,5,18,35.7,136.0,100300.0,2026-09-05 18:00:00,2026-09-05 18:00:00,1003.0
20260905,180000,28W,9,2026,9,5,18,35.5,140.3,100900.0,2026-09-05 18:00:00,2026-09-05 18:00:00,1009.0
20260905,180000,28W,9,2026,9,5,18,37.0,143.5,100500.0,2026-09-05 18:00:00,2026-09-05 18:00:00,1005.0
20260905,180000,28W,9,2026,9,5,18,38.5,148.6,100900.0,2026-09-05 18:00:00,2026-09-05 18:00:00,1009.0
20260905,180000,28W,9,2026,9,5,18,39.0,149.6,100900.0,2026-09-05 18:00:00,2026-09-05 18:00:00,1009.0
20260905,180000,28W,9,2026,9,5,18,39.6,154.6,101200.0,2026-09-05 18:00:00,2026-09-05 18:00:00,1012.0
20260905,180000,28W,9,2026,9,5,18,40.1,157.0,101500.0,2026-09-05 18:00:00,2026-09-05 18:00:00,1015.0
